list-il-m,12,4,1,144,371187,2577
list-dl-m,12,4,1,144,374310,2599
list-i-s,12,4,1,144,355608,2469
list-d-s,12,4,1,144,351527,2441
list-il-s,12,4,1,144,410348,2849
list-dl-s,12,4,1,144,434320,3016
list-i-none,2,8,1,48,93343,1944
list-d-none,2,8,1,48,131752,2744
list-il-none,2,8,1,48,189575,3949
list-dl-none,2,8,1,48,171947,3582
list-i-m,2,8,1,48,150942,3144
list-d-m,2,8,1,48,131821,2746
list-il-m,2,8,1,48,260359,5424
list-dl-m,2,8,1,48,185526,3865
list-i-s,2,8,1,48,123227,2567
list-d-s,2,8,1,48,99187,2066
list-il-s,2,8,1,48,182403,3800
list-dl-s,2,8,1,48,190741,3973
list-i-none,4,8,1,96,172682,1798
list-i-m,4,8,1,96,201025,2094
list-d-m,4,8,1,96,187537,1953
list-il-m,4,8,1,96,354938,3697
list-dl-m,4,8,1,96,406851,4238
list-i-s,4,8,1,96,116926,1217
list-d-s,4,8,1,96,153345,1597
list-il-s,4,8,1,96,301548,3141
list-dl-s,4,8,1,96,282851,2946
list-i-m,8,8,1,192,269700,1404
list-d-m,8,8,1,192,290732,1514
list-il-m,8,8,1,192,1002992,5223
list-dl-m,8,8,1,192,847856,4415
list-i-s,8,8,1,192,283980,1479
list-d-s,8,8,1,192,318584,1659
list-il-s,8,8,1,192,761014,3963
list-dl-s,8,8,1,192,826833,4306
list-i-none,12,8,1,288,366098,1271
list-d-none,12,8,1,288,359406,1247
list-i-m,12,8,1,288,669404,2324
list-d-m,12,8,1,288,373878,1298
list-il-m,12,8,1,288,1692967,5878
list-dl-m,12,8,1,288,1624191,5639
list-i-s,12,8,1,288,415071,1441
list-d-s,12,8,1,288,416568,1446
list-il-s,12,8,1,288,2056016,7138
list-dl-s,12,8,1,288,998796,3468
list-d-none,2,16,1,96,187491,1953
list-il-none,2,16,1,96,283425,2952
list-dl-none,2,16,1,96,305863,3186
list-i-m,2,16,1,96,180131,1876
list-d-m,2,16,1,96,117782,1226
list-il-m,2,16,1,96,493792,5143
list-dl-m,2,16,1,96,294654,3069
list-i-s,2,16,1,96,126685,1319
list-d-s,2,16,1,96,172963,1801
list-il-s,2,16,1,96,422196,4397
list-dl-s,2,16,1,96,457501,4765
